1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
95,52
95,51
90,0
95,61
91,0
95,62
95,60
95,59
95,54
95,53
92,0
95,66
95,65
95,63
93,0
95,68
95,67
95,64
94,0
95,71
95,70
95,69
95,58
95,57
95,56
95,55
95,0
96,71
96,51
97,51
96,0
97,71
97,0
98,0
98,1
98,2
98,3
98,4
98,5
98,6
98,7
98,8
98,9
98,10
98,11
98,12
98,13
98,14
98,15
98,16
98,17
98,18
98,19
98,20
98,21
98,22
98,23
98,24
98,25
98,26
98,27
98,28
98,29
98,30
98,31
98,32
98,33
98,34
98,35
98,36
98,37
98,38
98,39
98,40
98,41
98,42
98,43
98,44
98,45
98,46
98,71
98,51
98,47
99,71
99,51
99,47
100,71
100,51
101,51
100,47
101,71
102,51
101,47
102,71
102,47
103,71
103,51
104,51
103,47
104,71
104,47
105,71
105,51
105,47
106,71
106,51
107,51
106,47
107,71
107,47
108,71
108,51
108,47
113,71
109,71
109,51
111,51
109,47
114,71
110,71
110,51
112,51
113,51
114,51
115,51
110,47
116,71
115,71
112,71
111,71
111,47
121,71
119,71
118,71
117,71
112,47
123,71
122,71
120,71
116,51
117,51
118,51
119,51
120,51
121,51
122,51
123,51
113,47
124,4
124,2
124,1
124,0
124,-2
124,-3
124,-4
124,-6
124,-7
124,-8
124,-10
124,-11
124,-12
124,-14
124,-15
124,-16
114,47
124,16
115,47
124,17
124,8
116,47
124,25
124,24
124,9
117,47
124,29
124,28
124,26
124,23
124,22
124,21
124,20
124,18
124,15
124,14
124,13
124,12
124,10
124,7
124,6
124,5
124,-1
124,-9
118,47
124,33
124,32
119,47
124,40
124,38
124,37
124,36
124,34
124,31
124,30
124,27
124,3
124,-5
120,47
124,43
124,42
124,41
124,39
124,35
124,11
124,-13
121,47
124,45
124,44
124,19
122,47
124,46
124,51
123,47
124,71
124,47
125,71
125,51
125,-16
126,71
126,51
127,51
126,-16
127,71
127,-16
128,71
128,51
128,52
128,53
128,54
128,55
128,56
128,57
128,58
128,59
128,60
128,61
128,62
128,63
128,64
128,65
128,66
128,67
128,68
128,69
128,70
128,71
128,72
128,73
128,74
128,75
128,76
128,77
128,78
128,79
128,80
128,81
128,82
128,83
128,84
128,85
128,86
128,87
128,88
128,89
128,90
128,91
128,92
128,93
128,94
128,95
128,96
128,97
128,98
128,99
128,100
128,101
128,102
128,103
128,104
128,-16
129,71
129,104
129,-16
130,71
130,104
130,-16
131,71
131,104
131,-16
132,71
132,104
132,-16
133,71
133,104
133,-16
134,71
134,104
134,-16
135,71
135,104
135,-16
136,71
136,104
136,-16
137,71
137,104
137,-16
138,71
138,104
138,-16
139,71
139,104
139,-16
140,71
140,104
140,-16
141,71
141,104
141,-16
142,71
142,104
142,-16
143,71
143,104
143,-16
144,71
144,104
144,-16
145,71
145,104
145,-16
146,71
146,104
146,-16
147,71
147,104
147,-16
148,71
148,104
148,-16
149,71
149,104
149,-16
150,71
150,104
150,-16
151,71
151,104
151,-16
152,71
152,104
152,-16
153,71
153,104
153,-16
154,71
154,104
154,-16
155,71
155,104
155,-16
156,71
156,104
156,-16
157,-16
157,-15
157,-14
157,-13
157,-12
157,-11
157,-10
157,-9
157,-8
157,-7
157,-6
157,-5
157,-4
157,-3
157,-2
157,-1
157,0
157,1
157,2
157,3
157,4
157,5
157,6
157,7
157,8
157,9
157,10
157,11
157,12
157,13
157,14
157,15
157,16
157,17
157,18
157,19
157,20
157,21
157,22
157,23
157,24
157,25
157,26
157,27
157,28
157,29
157,30
157,31
157,32
157,33
157,34
157,35
157,36
157,37
157,38
157,39
157,40
157,41
157,42
157,43
157,44
157,45
157,46
157,47
157,48
157,49
157,50
157,51
157,52
157,53
157,54
157,55
157,56
157,57
157,58
157,59
157,60
157,61
157,62
157,63
157,64
157,65
157,66
157,67
157,68
157,69
157,70
157,71
157,104
158,104
159,104
160,104
161,104
162,104
163,104
164,104
165,104
166,104
167,104
168,104
169,104
170,104
171,104
172,104
173,104
174,104
175,104
176,104
177,104
178,104
179,104
